Elapsed s, Pressure dBar, Conductivity S/m, Temperature degC, Density SG, Sound Speed m/s
3722,2783.028076,3.14174,1.7047,1.040466651,1502.727501
3733,2789.916748,3.14186,1.6955,1.040504919,1502.815187
3743,2796.812011,3.14196,1.7039,1.040525783,1502.954739
3753,2803.918212,3.14208,1.6858,1.040573653,1503.019685
3763,2811.619873,3.14225,1.6941,1.040598567,1503.173347
3773,2818.608886,3.1423,1.6962,1.040625494,1503.295015
3783,2825.678222,3.14241,1.6814,1.040669879,1503.369
3794,2832.804199,3.14255,1.6815,1.040700182,1503.488507
3804,2840.483886,3.14265,1.6848,1.040729219,1503.625924
3814,2847.516845,3.14281,1.6741,1.040769913,1503.71231
3824,2854.635009,3.14287,1.6794,1.04079431,1503.8458
3834,2861.625,3.14298,1.6839,1.040819446,1503.975657
3844,2869.260986,3.14303,1.6781,1.04085673,1504.084671
3855,2876.405029,3.14313,1.6784,1.040886508,1504.204494
3865,2883.405029,3.14331,1.6756,1.040919502,1504.314113
3875,2890.610839,3.14347,1.671,1.040954905,1504.421471
3885,2898.393066,3.14362,1.6708,1.040988243,1504.551163
3895,2905.300048,3.14377,1.6691,1.041019484,1504.662058
3905,2912.249023,3.14382,1.6611,1.041056111,1504.75337
3916,2919.259033,3.14393,1.6633,1.041083558,1504.876863
3926,2927.035888,3.14392,1.6677,1.041110816,1505.017503
3936,2934.000976,3.14397,1.6557,1.041151424,1505.097287
3946,2941.052001,3.144,1.6517,1.041184343,1505.201836
3956,2947.930175,3.14411,1.6457,1.041219286,1505.298959
3967,2955.684082,3.14423,1.6501,1.041247682,1505.441426
3977,2962.761962,3.14437,1.6522,1.041275772,1505.566318
3987,2969.874023,3.14448,1.6515,1.041306457,1505.683008
3997,2976.927001,3.14459,1.6428,1.041344749,1505.775074
4007,2984.656738,3.14475,1.6448,1.041375771,1505.910763
4017,2991.635009,3.14488,1.6452,1.041405015,1506.028879
4028,2998.75,3.14494,1.6432,1.041436497,1506.141005
4038,3005.626953,3.14501,1.6313,1.041476822,1506.220106
4048,3012.687988,3.14512,1.638,1.041500018,1506.357933
4058,3020.344238,3.14534,1.637,1.041534244,1506.484602
4068,3027.311035,3.14546,1.6351,1.041565589,1506.59563
4078,3034.234863,3.14564,1.6309,1.041599589,1506.700148
4089,3041.571777,3.14589,1.6299,1.041632794,1506.8221
4099,3049.213134,3.14603,1.6274,1.041667653,1506.942831
4109,3056.293212,3.14618,1.6239,1.041701306,1507.051541
4119,3063.319824,3.14633,1.6182,1.041736899,1507.152878
4129,3070.428222,3.14646,1.6264,1.041758977,1507.296359
4139,3078.322998,3.14663,1.6165,1.04180241,1507.399933
4150,3085.381835,3.14673,1.6225,1.041826153,1507.535624
4160,3092.660888,3.1469,1.611,1.041868651,1507.624354
4170,3099.646972,3.14696,1.6215,1.041887288,1507.771523
4180,3107.458251,3.14696,1.6136,1.041926777,1507.876902
4190,3114.396972,3.14697,1.6101,1.041958493,1507.98109
4200,3121.418212,3.14707,1.6142,1.041983934,1508.110612
4211,3128.556884,3.14724,1.6083,1.042020345,1508.213662
4221,3136.225097,3.14733,1.6057,1.042054896,1508.3339
4231,3143.341064,3.14747,1.606,1.042084829,1508.454446
4241,3150.480957,3.14764,1.5979,1.042123401,1508.551053
4251,3157.760986,3.14778,1.5951,1.042157042,1508.665166
4261,3165.458251,3.14783,1.5982,1.042185712,1508.802143
4272,3172.533935,3.14789,1.5995,1.042213721,1508.92372
4282,3179.509033,3.14803,1.5932,1.042249556,1509.022495
4292,3186.655761,3.14817,1.595,1.042278121,1509.148069
4302,3194.48999,3.14832,1.5845,1.042321664,1509.248798
4312,3201.789062,3.14852,1.5922,1.042345611,1509.395349
4322,3208.74414,3.14867,1.5922,1.042375254,1509.512642
4333,3215.875976,3.14883,1.5866,1.042411215,1509.616475
4343,3223.686035,3.149,1.5851,1.042445986,1509.743809
4353,3230.898925,3.14921,1.5817,1.042480584,1509.856339
4363,3237.812988,3.14944,1.5808,1.042511699,1509.971666
4373,3244.951904,3.14967,1.5847,1.042538999,1510.104911
4384,3252.700927,3.14991,1.5798,1.042577523,1510.2224
4394,3259.908935,3.1501,1.5793,1.042609044,1510.343149
4404,3267.115966,3.1503,1.5809,1.042638586,1510.470267
4414,3274.266845,3.15043,1.579,1.042670673,1510.584973
4424,3281.968017,3.15053,1.5775,1.042704307,1510.709478
4434,3289.166015,3.15069,1.5797,1.04273283,1510.837604
4445,3296.221191,3.15091,1.5744,1.042768727,1510.942203
4455,3303.615966,3.15108,1.5735,1.042801187,1511.064613
4465,3311.427001,3.15131,1.578,1.042830587,1511.210866
4475,3318.446777,3.15153,1.5676,1.042871353,1511.299853
4485,3325.673095,3.15159,1.5764,1.042892521,1511.446372
4495,3332.835205,3.15177,1.5719,1.042927666,1511.554517
4506,3340.650878,3.15207,1.5575,1.042976352,1511.646215
4516,3347.903808,3.15225,1.5719,1.042993243,1511.811734
4526,3354.867919,3.1524,1.5662,1.043028474,1511.912608
4536,3362.053955,3.15262,1.5663,1.043059556,1512.035455
4546,3369.980957,3.15289,1.5681,1.043092434,1512.176425
4556,3377.003906,3.15314,1.5701,1.043121263,1512.302705
4567,3384.020996,3.15337,1.5696,1.043152337,1512.421187
4577,3391.205078,3.15361,1.5675,1.043185755,1512.537887
4587,3399.260253,3.15383,1.5683,1.043219645,1512.677262
